#queryIndex	queryItem	stringId	preferredName	annotation
90	SYTL3	9606.ENSP00000483936	SYTL3	Synaptotagmin-like protein 3; May act as Rab effector protein and play a role in vesicle trafficking. Binds phospholipids in the presence of calcium ions (By similarity).
91	TAF4B	9606.ENSP00000462980	TAF4B	Transcription initiation factor TFIID subunit 4B; Cell type-specific subunit of the general transcription factor TFIID that may function as a gene-selective coactivator in certain cells. TFIID is a multimeric protein complex that plays a central role in mediating promoter responses to various activators and repressors. TAF4B is a transcriptional coactivator of the p65/RELA NF- kappa-B subunit. Involved in the activation of a subset of antiapoptotic genes including TNFAIP3. May be involved in regulating folliculogenesis. Through interaction with OCBA/POU2AF1, acts as a coactivator of B- [...] 
92	TBC1D2B	9606.ENSP00000300584	TBC1D2B	TBC1 domain family member 2B; May act as a GTPase-activating protein.
93	TCEAL4	9606.ENSP00000361712	TCEAL4	Transcription elongation factor A protein-like 4; May be involved in transcriptional regulation.
94	TGIF1	9606.ENSP00000327959	TGIF1	Homeobox protein TGIF1; Binds to a retinoid X receptor (RXR) responsive element from the cellular retinol-binding protein II promoter (CRBPII-RXRE). Inhibits the 9-cis-retinoic acid-dependent RXR alpha transcription activation of the retinoic acid responsive element. Active transcriptional corepressor of SMAD2. Links the nodal signaling pathway to the bifurcation of the forebrain and the establishment of ventral midline structures. May participate in the transmission of nuclear signals during development and in the adult, as illustrated by the down-modulation of the RXR alpha activitie [...] 
95	THBS1	9606.ENSP00000260356	THBS1	Thrombospondin-1; Adhesive glycoprotein that mediates cell-to-cell and cell-to- matrix interactions. Binds heparin. May play a role in dentinogenesis and/or maintenance of dentin and dental pulp (By similarity). Ligand for CD36 mediating antiangiogenic properties. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors (By similarity).
96	TNRC6B	9606.ENSP00000401946	TNRC6B	Trinucleotide repeat-containing gene 6B protein; Plays a role in RNA-mediated gene silencing by both micro- RNAs (miRNAs) and short interfering RNAs (siRNAs). Required for miRNA- dependent translational repression and siRNA-dependent endonucleolytic cleavage of complementary mRNAs by argonaute family proteins. As scaffoldng protein associates with argonaute proteins bound to partially complementary mRNAs and simultaneously can recruit CCR4-NOT and PAN deadenylase complexes.
97	TRNT1	9606.ENSP00000251607	TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial; [Isoform 1]: Adds and repairs the conserved 3'-CCA sequence necessary for the attachment of amino acids to the 3' terminus of tRNA molecules, using CTP and ATP as substrates.
98	TXNIP	9606.ENSP00000462521	TXNIP	Thioredoxin-interacting protein; May act as an oxidative stress mediator by inhibiting thioredoxin activity or by limiting its bioavailability. Interacts with COPS5 and restores COPS5-induced suppression of CDKN1B stability, blocking the COPS5-mediated translocation of CDKN1B from the nucleus to the cytoplasm. Functions as a transcriptional repressor, possibly by acting as a bridge molecule between transcription factors and corepressor complexes, and over-expression will induce G0/G1 cell cycle arrest. Required for the maturation of natural killer cells. Acts as a suppressor of tumor c [...] 
99	UPP1	9606.ENSP00000330032	UPP1	Uridine phosphorylase 1; Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1-phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis.
100	USP53	9606.ENSP00000409906	USP53	Inactive ubiquitin carboxyl-terminal hydrolase 53; Tight junction-associated protein that is involved in the survival of auditory hair cells and hearing. Maybe by modulating the barrier properties and mechanical stability of tight junctions (By similarity). Has no peptidase activity.
101	UTRN	9606.ENSP00000356515	UTRN	Utrophin; May play a role in anchoring the cytoskeleton to the plasma membrane.
102	XPO1	9606.ENSP00000384863	XPO1	Exportin-1; Mediates the nuclear export of cellular proteins (cargos) bearing a leucine-rich nuclear export signal (NES) and of RNAs. In the nucleus, in association with RANBP3, binds cooperatively to the NES on its target protein and to the GTPase RAN in its active GTP-bound form (Ran-GTP). Docking of this complex to the nuclear pore complex (NPC) is mediated through binding to nucleoporins. Upon transit of a nuclear export complex into the cytoplasm, disassembling of the complex and hydrolysis of Ran-GTP to Ran-GDP (induced by RANBP1 and RANGAP1, respectively) cause release of the ca [...] 
103	ZBTB37	9606.ENSP00000356674	ZBTB37	Zinc finger and BTB domain-containing protein 37; May be involved in transcriptional regulation.
104	ZEB1	9606.ENSP00000354487	ZEB1	Zinc finger E-box-binding homeobox 1; Acts as a transcriptional repressor. Inhibits interleukin-2 (IL-2) gene expression. Enhances or represses the promoter activity of the ATP1A1 gene depending on the quantity of cDNA and on the cell type. Represses E-cadherin promoter and induces an epithelial-mesenchymal transition (EMT) by recruiting SMARCA4/BRG1. Represses BCL6 transcription in the presence of the corepressor CTBP1. Positively regulates neuronal differentiation. Represses RCOR1 transcription activation during neurogenesis. Represses transcription by binding to the E box (5'-CANNTG [...] 
105	ZNF268	9606.ENSP00000444412	ZNF268	Zinc finger protein 268; [Isoform 1]: Acts as a transcriptional repressor. Inhibits erythroid differentiation and tumor cell proliferation. Plays a role during ovarian cancer development and progression; Belongs to the krueppel C2H2-type zinc-finger protein family.
